RCP_PARTS_DTLS,RCP_NM,RCP_WAY2,LOW_NA,HIGH_PRO,VEGAN,DIETS,new_train
새우두부계란찜 연두부        모   칵테일새우      마리   달걀        개   생크림      큰술   설탕     작은술   무염버터     작은술  고명 시금치      줄기 ,새우 두부 계란찜,찌기,1,1,1,1,"['새우두부계란찜', '연두부', '칵테일새우', '달걀', '생크림', '설탕', '무염버터', '시금치']"
  인분 조선부추      날콩가루      작은술   양념장   저염간장       작은술   다진 대파     작은술   다진 마늘       쪽   고춧가루       작은술   요리당       작은술   참기름       작은술   참깨 약간,부추 콩가루 찜,찌기,1,1,1,1,"['조선부추', '날콩가루', '저염간장', '대파', '마늘', '고춧가루', '요리당', '참기름', '참깨']"
 방울토마토 소박이    방울토마토       개   양파             부추      줄기   양념장    고춧가루     작은술   멸치액젓       작은술   다진 마늘         쪽   매실액       작은술   설탕       작은술   물        작은술   통깨 약간,방울토마토 소박이,기타,1,0,1,1,"['방울토마토', '소박이', '방울토마토', '양파', '부추', '고춧가루', '멸치액젓', '마늘', '매실액', '설탕', '통깨']"
 오이무침   오이        개   다진 땅콩      큰술   순두부사과 소스    순두부        봉지   사과        개 ,순두부 사과 소스 오이무침,기타,1,0,1,1,"['오이무침', '오이', '땅콩', '순두부사과', '순두부', '사과']"
북엇국 북어채       개   새우      마리   사과        개   양파        개   표고버섯      장   물         컵 ,사과 새우 북엇국,끓이기,1,1,1,1,"['북엇국', '북어채', '새우', '사과', '양파', '표고버섯']"
황태해장국 황태 채        개   콩나물        봉지   무               저염된장      작은술   물         컵   청양고추       개   다진 마늘       작은술 ,저염 된장으로 맛을 낸 황태해장국,끓이기,1,1,1,1,"['황태해장국', '황태', '채', '콩나물', '무', '저염된장', '청양고추', '마늘']"
된장국 두부               애느타리버섯      가닥   감자               양파             대파           된장     작은술   물         컵 ,된장국,끓이기,1,1,1,1,"['된장국', '두부', '애느타리버섯', '가닥', '감자', '양파', '대파', '된장']"
 멸치육수   국물용 멸치     마리   다시마  장         양파             표고버섯 기둥  국간장     작은술   물         컵   채소준비   청경채      개   표고버섯      장   다진 마늘       작은술 ,표고버섯 청경채국,끓이기,1,0,1,1,"['멸치육수', '국물용', '멸치', '다시마', '양파', '표고버섯', '기둥', '국간장', '채소준비', '청경채', '표고버섯', '마늘']"
 치커리 샐러드   치커리       줄기   적양배추             양파             당근              올리브마늘 드레싱   올리브유      작은술   식초     작은술   설탕     작은술   마늘     쪽 ,치커리샐러드와 올리브 마늘 소스,기타,1,0,1,1,"['치커리', '샐러드', '치커리', '적양배추', '양파', '당근', '올리브마늘', '드레싱', '올리브유', '식초', '설탕', '마늘']"
스트로베리 샐러드 딸기      개   플레인요거트      개   양상추      장   메추리알      개   블루베리      큰술   식초 약간  소금 약간,스트로베리 샐러드,기타,1,0,1,1,"['스트로베리', '샐러드', '딸기', '플레인요거트', '양상추', '메추리알', '블루베리', '식초']"
 그린매쉬드포테이토   감자        개   시금치우유 소스     작은술   아몬드     알   설탕       작은술   크랜베리     치커리 약간  시금치우유 소스   시금치      우유      작은술 ,시금치 우유 소스와 그린매쉬드포테이토,찌기,1,0,1,1,"['그린매쉬드포테이토', '감자', '시금치우유', '아몬드', '설탕', '크랜베리', '치커리', '시금치우유', '시금치', '우유']"
 버섯구이   새송이버섯      개   올리브유      작은술   곁들임   치커리      줄기   두부타르타르 소스   연두부        모   다진 양파      작은술   다진 오이피클      작은술   올리브유       작은술   식초     작은술   레몬즙       작은술   머스터드       작은술   꿀       작은술   흰 후추 약간,버섯구이와 두부타르타르 소스,굽기,1,0,1,1,"['버섯구이', '새송이버섯', '올리브유', '곁들임', '치커리', '두부타르타르', '연두부', '양파', '오이피클', '올리브유', '식초', '레몬즙', '머스터드', '꿀', '흰', '후추']"
 구운채소   가지           호박        개   새송이버섯      개   양파        개   발사믹크레마      큰술   빨강 파프리카            노랑 파프리카            청피망            올리브유 약간  간장 레몬 소스   저염간장     작은술   식초      큰술   설탕      큰술   레몬즙     작은술 ,구운채소와 간장레몬 소스,굽기,1,0,1,1,"['구운채소', '가지', '호박', '새송이버섯', '양파', '발사믹크레마', '빨강', '파프리카', '노랑', '파프리카', '청피망', '올리브유', '간장', '레몬', '저염간장', '식초', '설탕', '레몬즙']"
 브로콜리컬리플라워 샐러드   브로콜리        송이   컬리플라워        송이   적양파             강낭콩     작은술   건포도  알  호두    알  소금 약간  두유요거트 소스   두유       큰술   플레인요거트       큰술   레몬즙     작은술   설탕 약간,브로콜리 컬리플라워 샐러드와 두유 요거트 소스,기타,1,0,1,1,"['브로콜리컬리플라워', '샐러드', '브로콜리', '송이', '컬리플라워', '송이', '적양파', '강낭콩', '건포도', '호두', '두유요거트', '두유', '플레인요거트', '레몬즙', '설탕']"
오렌지 당근펀치 당근         개   오렌지         개 ,오렌지와 당근 만남주스,기타,1,0,1,1,"['오렌지', '당근펀치', '당근', '오렌지']"
 주재료   소면       저염소금     작은술   식초       작은술   소스   석류         개   장식   잣     작은술   아몬드     작은술   해바라기씨     작은술   호두     작은술   호박씨     작은술   오이        개 ,칠곡석류국수,끓이기,1,0,1,1,"['소면', '저염소금', '식초', '석류', '장식', '잣', '아몬드', '해바라기씨', '호두', '호박씨', '오이']"
 주재료 실곤약       검은콩      볶은 흑임자     작은술   호두     알   장식 오이        개   토마토        개   달걀      개 ,블랙빈 곤약국수,끓이기,1,1,1,1,"['실곤약', '검은콩', '볶은', '흑임자', '호두', '장식', '오이', '토마토', '달걀']"
주재료 만두피     장   브로콜리         개   숙주       표고버섯      개   닭 가슴살       참기름       작은술   저염간장     작은술   소금       후춧가루     ,닭가슴살 브로콜리 만두,찌기,1,1,0,1,"['만두피', '브로콜리', '숙주', '표고버섯', '닭', '가슴살', '참기름', '저염간장', '후춧가루']"
 주재료   소면      육수   함초       작은술   노루궁뎅이버섯        개   다시마            파         개   양파         개   무         개   모시조개         컵   냉이      간장      큰술   장식   달걀      개   청고추      개   실고추   ,함초 냉이 국수,끓이기,1,0,1,1,"['소면', '육수', '함초', '노루궁뎅이버섯', '다시마', '파', '양파', '무', '모시조개', '냉이', '간장', '장식', '달걀', '청고추', '실고추']"
두부       모   쌀뜨물        컵   돼지고기       김치       된장       큰술   청양고추        개   홍고추       개   대파           고춧가루     작은술 ,된장 두부찌개,끓이기,1,1,0,1,"['두부', '쌀뜨물', '돼지고기', '김치', '된장', '청양고추', '홍고추', '대파', '고춧가루']"
다시마     두부      떡국 떡      스팸 마일드       다진 마늘     무      김치      소시지        개   우민찌     작은술   양파     저염된장      큰술   베이컨     대파     청양고추     홍고추   ,부대된장찌개,끓이기,1,1,0,1,"['다시마', '두부', '떡국', '떡', '스팸', '마일드', '마늘', '무', '김치', '소시지', '우민찌', '양파', '저염된장', '베이컨', '대파', '청양고추', '홍고추']"
 주재료   감자       개   양배추         개   당근         개   두부         모   돼지고기      청양고추     개   부침가루      큰술   달걀      개   식용유      큰술   소스   오렌지즙      큰술   간장       작은술   식초      작은술 ,양배추감자전,굽기,1,0,0,1,"['감자', '양배추', '당근', '두부', '돼지고기', '청양고추', '부침가루', '달걀', '식용유', '오렌지즙', '간장', '식초']"
 돌나물 샐러드   돌나물      미니새송이버섯      개   참기름 약간  레몬마요네즈 소스   마요네즈      작은술   레몬즙       큰술   청양고추       개   홍고추       개   참기름 약간,돌나물 샐러드,기타,1,0,1,0,"['돌나물', '샐러드', '돌나물', '미니새송이버섯', '참기름', '레몬마요네즈', '마요네즈', '레몬즙', '청양고추', '홍고추', '참기름']"
 주재료   배추         개   석류즙      작은술   소금       작은술   양념   무           미나리      쪽파      개   다진 마늘     작은술   다진 생강     작은술   새우젓국      큰술 ,석류 보쌈김치,기타,1,1,1,1,"['배추', '석류즙', '무', '미나리', '쪽파', '마늘', '생강', '새우젓국']"
 주재료   대구살       홍파프리카         개   황파프리카         개  청파프리카         개   황금팽이버섯      미나리      밀가루      큰술   소스   유자청       큰술   발사믹식초      작은술   화이트와인      작은술   장식   대파      개 ,유자 대구조림,끓이기,1,1,1,1,"['대구살', '홍파프리카', '황파프리카', '청파프리카', '황금팽이버섯', '미나리', '밀가루', '유자청', '발사믹식초', '화이트와인', '장식', '대파']"
 주재료   자색고구마           무           배        개   배추         개   부추      사과        개   쪽파            소금       큰술   양념   멥쌀      작은술   물엿        컵   황파프리카        개 ,파프리카 물김치,기타,1,0,1,1,"['자색고구마', '무', '배', '배추', '부추', '사과', '쪽파', '멥쌀', '물엿', '황파프리카']"
 주재료   애호박       개   양송이버섯      개   가지        개   저염살라미      사과        개   소스  양파        개   마늘      개   토마토       개   설탕      작은술   바질      고추장      큰술 ,고추장 라따뚜이,굽기,1,0,1,1,"['애호박', '양송이버섯', '가지', '저염살라미', '사과', '양파', '마늘', '토마토', '설탕', '바질', '고추장']"
 주재료   민들레 잎      비트     작은술   오렌지 껍질         개   드레싱   간장       큰술   다진 홍고추      개   레몬즙      큰술   설탕     작은술 ,민들레 샐러드,기타,1,0,1,1,"['민들레', '비트', '오렌지', '껍질', '드레싱', '간장', '홍고추', '레몬즙', '설탕']"
 주재료   가지       개   토마토        개   무순      마늘      개   올리브오일     작은술   드레싱   올리브오일      큰술   발사믹식초      큰술   후춧가루       작은술 ,토마토 가지 카프레제,굽기,1,0,1,1,"['가지', '토마토', '무순', '마늘', '올리브오일', '드레싱', '올리브오일', '발사믹식초', '후춧가루']"
돼지고기       배춧잎  장   부추       쌀        당근       표고버섯  개   양파       애호박    개   우렁이        된장     ,우렁된장소스 배추롤,찌기,1,1,0,0,"['돼지고기', '배춧잎', '부추', '쌀', '당근', '표고버섯', '양파', '애호박', '우렁이', '된장']"
소고기        돼지고기        대추  알   양파       마늘       배    개   애호박    개   단호박    개   파프리카       인삼  뿌리   양송이  개   배추잎  장   저염간장       설탕       소금        후춧가루        두부     ,인삼떡갈비,굽기,1,1,0,1,"['소고기', '돼지고기', '대추', '양파', '마늘', '배', '애호박', '단호박', '파프리카', '인삼', '뿌리', '양송이', '배추잎', '저염간장', '설탕', '후춧가루', '두부']"
닭고기  마리   가시오가피       대파       다시마       건새우       실곤약        비트       치자가루       마늘       소금        후춧가루         양파       오이       겨자가루       식초       설탕     ,초계탕과 사색곤약,끓이기,1,1,0,1,"['닭고기', '가시오가피', '대파', '다시마', '건새우', '실곤약', '비트', '치자가루', '마늘', '후춧가루', '양파', '오이', '겨자가루', '식초', '설탕']"
호박잎  장   닭고기 가슴살         찹쌀        대추  알   미나리       인삼  뿌리   소금        후춧가루       ,호박잎 삼계탕,끓이기,1,0,0,0,"['호박잎', '닭고기', '가슴살', '찹쌀', '대추', '미나리', '인삼', '뿌리', '후춧가루']"
황태채        곤약        건미역       들깨가루       두부       된장       액젓       표고버섯  개   마늘       참기름    ,황태미역 곤약스프,끓이기,1,1,1,1,"['황태채', '곤약', '건미역', '들깨가루', '두부', '된장', '액젓', '표고버섯', '마늘', '참기름']"
오리고기 훈제오리 가슴살         발사믹소스       양파       파슬리      블루베리       레디쉬  개 ,훈제오리가슴살 샐러드,기타,1,1,0,0,"['오리고기', '훈제오리', '가슴살', '발사믹소스', '양파', '파슬리', '블루베리', '레디쉬']"
오리고기 훈제오리 가슴살         로즈마리      오렌지  개   새송이버섯  개   파슬리      땅콩       올리브오일       유자청       후춧가루     ,훈제오리가슴살크러스트,굽기,1,1,0,1,"['오리고기', '훈제오리', '가슴살', '로즈마리', '오렌지', '새송이버섯', '파슬리', '땅콩', '올리브오일', '유자청', '후춧가루']"
전복  개   새우  마리   시금치       해초       저염간장       레몬    개   설탕       소금        마늘       녹말       식용꽃     ,간장소스를 곁들인 새우전복찜,찌기,1,1,1,1,"['전복', '새우', '시금치', '해초', '저염간장', '레몬', '설탕', '마늘', '녹말', '식용꽃']"
검은콩        메밀면        오이       방울토마토  개   땅콩       잣       참깨    ,검은콩국수,끓이기,1,0,1,0,"['검은콩', '메밀면', '오이', '방울토마토', '땅콩', '잣', '참깨']"
산마        참나물       돈나물       토마토        레디쉬  개   어린잎       저염간장       식초       설탕       겨자가루      ,겨자소스로 구운 산마샐러드,기타,1,0,1,1,"['산마', '참나물', '돈나물', '토마토', '레디쉬', '어린잎', '저염간장', '식초', '설탕', '겨자가루']"
재료 닭가슴살       애호박       미나리       청양고추      두부      김치        참기름       느타리버섯       달걀      육수 다시마      무       대파      양파       마른 고추      멸치      마늘       청주       물      ,닭고기김치찌개,끓이기,1,0,0,1,"['닭가슴살', '애호박', '미나리', '청양고추', '두부', '김치', '참기름', '느타리버섯', '달걀', '육수', '다시마', '무', '대파', '양파', '고추', '멸치', '마늘', '청주']"
재료 콩나물       김치      두부       붉은 고추      다진 돼지고기 등심        새우젓     육수 대파       마늘      쇠고기     ,완자김치찌개,끓이기,1,0,0,1,"['콩나물', '김치', '두부', '붉은', '고추', '돼지고기', '등심', '새우젓', '육수', '대파', '마늘', '쇠고기']"
재료 풋고추       백김치        콩비지       양념 참기름      후춧가루        다진 마늘       간장    ,백김치콩비지찌개,끓이기,1,0,1,1,"['풋고추', '백김치', '콩비지', '참기름', '후춧가루', '마늘', '간장']"
